client,facility,system,device,channo,channame,chanunits,description
Woodside,Scarborough,IMMS,,317,ML 10 Tension 1,tonnes,Measured mooring line ML 10 tension at fairlead
Woodside,Scarborough,IMMS,,318,ML 10 Tension 2,tonnes,Measured redundant mooring line ML 10 tension at fairlead
Woodside,Scarborough,IMMS,,319,ML 10 Angle,deg,Measured mooring line ML 10 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,320,ML 10 Latch Position,deg,Stopper latch angle for mooring line ML 10
Woodside,Scarborough,IMMS,,321,SE Supply Damper 1 ZSC,bool,SE Supply Damper 1 Fully Closed Indication
Woodside,Scarborough,IMMS,,322,SE Supply Damper 1 ZSO,bool,SE Supply Damper 1 Fully Open Indication
Woodside,Scarborough,IMMS,,323,SE Exhaust Damper 2 ZSC,bool,SE Exhaust Damper 2 Fully Closed Indication
Woodside,Scarborough,IMMS,,324,SE Exhaust Damper 2 ZSO,bool,SE Exhaust Damper 2 Fully Open Indication
Woodside,Scarborough,IMMS,,325,SE Exhaust Damper 3 ZSC,bool,SE Exhaust Damper 3 Fully Closed Indication
Woodside,Scarborough,IMMS,,326,SE Exhaust Damper 3 ZSO,bool,SE Exhaust Damper 3 Fully Open Indication
Woodside,Scarborough,IMMS,,327,SE Close Door,bool,SE Column Door Fully Closed Indication
Woodside,Scarborough,IMMS,,328,SE Close Hatch,bool,SE Column Hatch Fully Closed Indication
Woodside,Scarborough,IMMS,,329,SE ML PLC Watchdog,counter,Heartbeat Counter
Woodside,Scarborough,IMMS,,330,ML 11 Tension 1,tonnes,Measured mooring line ML 11 tension at fairlead
Woodside,Scarborough,IMMS,,331,ML 11 Tension 2,tonnes,Measured redundant mooring line ML 11 tension at fairlead
Woodside,Scarborough,IMMS,,332,ML 11 Angle,deg,Measured mooring line ML 11 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,333,ML 11 Latch Position,deg,Stopper latch angle for mooring line ML 11
Woodside,Scarborough,IMMS,,334,ML 12 Tension 1,tonnes,Measured mooring line ML 12 tension at fairlead
Woodside,Scarborough,IMMS,,335,ML 12 Tension 2,tonnes,Measured redundant mooring line ML 12 tension at fairlead
Woodside,Scarborough,IMMS,,336,ML 12 Angle,deg,Measured mooring line ML 12 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,337,ML 12 Latch Position,deg,Stopper latch angle for mooring line ML 12
Woodside,Scarborough,IMMS,,338,ML 13 Tension 1,tonnes,Measured mooring line ML 13 tension at fairlead
Woodside,Scarborough,IMMS,,339,ML 13 Tension 2,tonnes,Measured redundant mooring line ML 13 tension at fairlead
Woodside,Scarborough,IMMS,,340,ML 13 Angle,deg,Measured mooring line ML 13 angle from vertical at fairlead
Woodside,Scarborough,IMMS,,341,ML 13 Latch Position,deg,Stopper latch angle for mooring line ML 13
Woodside,Scarborough,IMMS,,342,ML 14 Tension 1,tonnes,Measured mooring line ML 14 tension at fairlead
